Date,Position [Encoder Input Ch:0 -> ENC1001 -> HUB0002 Port:0 S/N:750804]
20:39.4,0
20:39.6,0
20:39.8,0
20:40.0,0
20:40.2,0
20:40.4,0
20:40.6,0
20:40.8,0
20:41.0,0
20:41.2,0
20:41.4,0
20:41.6,0
20:41.8,0
20:42.0,0
20:42.2,0
20:42.4,0
20:42.6,0
20:42.8,0
20:43.0,0
20:43.2,0
20:43.4,0
20:43.6,0
20:43.8,0
20:44.0,0
20:44.2,0
20:44.4,0
20:44.6,0
20:44.8,0
20:45.0,0
20:45.2,0
20:45.4,0
20:45.6,0
20:45.8,0
20:46.0,0
20:46.2,0
20:46.4,0
20:46.6,0
20:46.8,0
20:47.0,0
20:47.2,0
20:47.4,0
20:47.6,0
20:47.8,0
20:48.0,0
20:48.2,0
20:48.4,0
20:48.6,0
20:48.8,0
20:49.0,0
20:49.2,0
20:49.4,0
20:49.6,0
20:49.8,0
20:50.0,0
20:50.2,0
20:50.4,0
20:50.6,0
20:50.8,0
20:51.0,0
20:51.2,0
20:51.4,0
20:51.6,0
20:51.8,0
20:52.0,0
20:52.2,0
20:52.4,0
20:52.6,0
20:52.8,0
20:53.0,0
20:53.2,0
20:53.4,0
20:53.6,0
20:53.8,0
20:54.0,0
20:54.2,0
20:54.4,0
20:54.6,0
20:54.8,0
20:55.0,0
20:55.2,0
20:55.4,0
20:55.6,0
20:55.8,0
20:56.0,0
20:56.2,0
20:56.4,332
20:56.6,744
20:56.8,1150
20:57.0,1545
20:57.2,1958
20:57.4,2371
20:57.6,2761
20:57.8,3136
20:58.0,3530
20:58.2,3916
20:58.4,4296
20:58.6,4668
20:58.8,5071
20:59.0,5455
20:59.2,5836
20:59.4,6225
20:59.6,6626
20:59.8,7014
21:00.0,7397
21:00.2,7796
21:00.4,8196
21:00.6,8582
21:00.8,8980
21:01.0,9393
21:01.2,9798
21:01.4,9856
21:01.6,9856
21:01.8,9856
21:02.0,9856
21:02.2,9856
21:02.4,9856
21:02.6,9856
21:02.8,9856
21:03.0,9856
21:03.2,9856
21:03.4,9856
21:03.6,9856
21:03.8,9856
21:04.0,9856
21:04.2,9856
21:04.4,9856
21:04.6,9490
21:04.8,9076
21:05.0,8677
21:05.2,8285
21:05.4,7885
21:05.6,7487
21:05.8,7118
21:06.0,6738
21:06.2,6352
21:06.4,5964
21:06.6,5581
21:06.8,5205
21:07.0,4806
21:07.2,4417
21:07.4,4044
21:07.6,3659
21:07.8,3270
21:08.0,2886
21:08.2,2522
21:08.4,2128
21:08.6,1732
21:08.8,1349
21:09.0,992
21:09.2,617
21:09.4,256
21:09.6,19
21:09.8,18
21:10.0,18
21:10.2,18
21:10.4,18
21:10.6,18
21:10.8,18
21:11.0,18
21:11.2,18
21:11.4,18
21:11.6,18
21:11.8,18
21:12.0,18
21:12.2,18
21:12.4,18
21:12.6,18
21:12.8,18
21:13.0,18
21:13.2,18
21:13.4,18
21:13.6,56
21:13.8,470
21:14.0,872
21:14.2,1274
21:14.4,1673
21:14.6,2093
21:14.8,2503
21:15.0,2885
21:15.2,3257
21:15.4,3656
21:15.6,4041
21:15.8,4413
21:16.0,4800
21:16.2,5196
21:16.4,5580
21:16.6,5958
21:16.8,6356
21:17.0,6751
21:17.2,7137
21:17.4,7523
21:17.6,7928
21:17.8,8323
21:18.0,8714
21:18.2,9113
21:18.4,9528
21:18.6,9861
21:18.8,9861
21:19.0,9861
21:19.2,9861
21:19.4,9861
21:19.6,9861
21:19.8,9861
21:20.0,9861
21:20.2,9861
21:20.4,9861
21:20.6,9861
21:20.8,9861
21:21.0,9861
21:21.2,9861
21:21.3,9861
21:21.5,9861
21:21.7,9861
21:21.9,9861
21:22.1,9861
21:22.3,9861
21:22.5,9861
21:22.7,9754
21:22.9,9335
21:23.1,8920
21:23.3,8508
21:23.5,8108
21:23.7,7696
21:23.9,7306
21:24.1,6926
21:24.3,6544
21:24.5,6148
21:24.7,5761
21:24.9,5391
21:25.1,4993
21:25.3,4596
21:25.5,4209
21:25.7,3835
21:25.9,3449
21:26.1,3065
21:26.3,2689
21:26.5,2309
21:26.7,1909
21:26.9,1518
21:27.1,1161
21:27.3,792
21:27.5,414
21:27.7,55
21:27.9,42
21:28.1,42
21:28.3,42
21:28.5,42
21:28.7,42
21:28.9,42
21:29.1,42
21:29.3,42
21:29.5,42
21:29.7,42
21:29.9,42
21:30.1,42
21:30.3,42
21:30.5,42
21:30.7,42
21:30.9,42
21:31.1,42
21:31.3,42
21:31.5,42
21:31.7,42
21:31.9,243
21:32.1,640
21:32.3,1045
21:32.5,1442
21:32.7,1848
21:32.9,2272
21:33.1,2667
21:33.3,3039
21:33.5,3426
21:33.7,3816
21:33.9,4195
21:34.1,4568
21:34.3,4964
21:34.5,5352
21:34.7,5737
21:34.9,6123
21:35.1,6517
21:35.3,6910
21:35.5,7291
21:35.7,7685
21:35.9,8087
21:36.1,8481
21:36.3,8864
21:36.5,9274
21:36.7,9681
21:36.9,9937
21:37.1,9937
21:37.3,9937
21:37.5,9937
21:37.7,9937
21:37.9,9937
21:38.1,9937
21:38.3,9937
21:38.5,9937
21:38.7,9937
21:38.9,9937
21:39.1,9937
21:39.3,9937
21:39.5,9937
21:39.7,9937
21:39.9,9937
21:40.1,9937
21:40.3,9937
21:40.5,9937
21:40.7,9937
21:40.9,9937
21:41.1,9671
21:41.3,9250
21:41.5,8843
21:41.7,8435
21:41.9,8032
21:42.1,7626
21:42.3,7241
21:42.5,6866
21:42.7,6472
21:42.9,6082
21:43.1,5703
21:43.3,5318
21:43.5,4929
21:43.7,4535
21:43.9,4154
21:44.1,3781
21:44.3,3388
21:44.5,3009
21:44.7,2634
21:44.9,2253
21:45.1,1853
21:45.3,1471
21:45.5,1113
21:45.7,740
21:45.9,363
21:46.1,9
21:46.3,-36
21:46.5,-36
21:46.7,-36
21:46.9,-36
21:47.1,-36
21:47.3,-36
21:47.5,-36
21:47.7,-36
21:47.9,-36
21:48.1,-36
21:48.3,-36
21:48.5,-36
21:48.7,-36
21:48.9,-36
21:49.1,-36
21:49.3,-36
21:49.5,-36
21:49.7,-36
21:49.9,-36
21:50.1,-36
21:50.3,306
21:50.5,703
21:50.7,1100
21:50.9,1488
21:51.1,1884
21:51.3,2295
21:51.5,2678
21:51.7,3046
21:51.9,3424
21:52.1,3805
21:52.3,4179
21:52.5,4542
21:52.7,4929
21:52.9,5311
21:53.1,5684
21:53.3,6057
21:53.5,6451
21:53.7,6833
21:53.9,7212
21:54.1,7592
21:54.3,7991
21:54.5,8380
21:54.7,8760
21:54.9,9154
21:55.1,9555
21:55.3,9911
21:55.5,9909
21:55.7,9909
21:55.9,9909
21:56.1,9909
21:56.3,9909
21:56.5,9909
21:56.7,9909
21:56.9,9909
21:57.1,9909
21:57.3,9909
21:57.5,9909
21:57.7,9909
21:57.9,9909
21:58.1,9909
21:58.3,9909
21:58.5,9909
21:58.7,9909
21:58.9,9909
21:59.1,9909
21:59.3,9892
21:59.5,9483
21:59.7,9066
21:59.9,8652
22:00.1,8257
22:00.3,7846
22:00.5,7444
22:00.7,7071
22:00.9,6691
22:01.1,6299
22:01.3,5915
22:01.5,5533
22:01.7,5150
22:01.9,4752
22:02.1,4363
22:02.3,3996
22:02.5,3605
22:02.7,3218
22:02.9,2842
22:03.1,2464
22:03.3,2076
22:03.5,1676
22:03.7,1307
22:03.9,945
22:04.1,568
22:04.3,210
22:04.5,40
22:04.7,39
22:04.9,39
22:05.1,39
22:05.3,39
22:05.5,39
22:05.7,39
22:05.9,39
22:06.1,39
22:06.3,39
22:06.5,39
22:06.7,39
22:06.9,39
22:07.1,39
22:07.3,39
22:07.5,39
22:07.7,39
22:07.9,39
22:08.1,39
22:08.3,39
22:08.5,126
22:08.7,536
22:08.9,941
22:09.1,1338
22:09.3,1741
22:09.5,2160
22:09.7,2563
22:09.9,2942
22:10.1,3322
22:10.3,3713
22:10.5,4093
22:10.7,4464
22:10.9,4852
22:11.1,5240
22:11.3,5624
22:11.5,6002
22:11.7,6404
22:11.9,6796
22:12.1,7179
22:12.3,7576
22:12.5,7972
22:12.7,8366
22:12.9,8755
22:13.1,9157
22:13.3,9567
22:13.5,9923
22:13.7,9920
22:13.9,9920
22:14.1,9920
22:14.2,9920
22:14.4,9920
22:14.7,9920
22:14.8,9920
22:15.0,9920
22:15.2,9920
22:15.4,9920
22:15.6,9920
22:15.8,9920
22:16.0,9920
22:16.2,9920
22:16.4,9920
22:16.6,9920
22:16.8,9920
22:17.0,9920
22:17.2,9920
22:17.4,9920
22:17.6,9901
22:17.8,9495
22:18.0,9074
22:18.2,8666
22:18.4,8269
22:18.6,7860
22:18.8,7456
22:19.0,7079
22:19.2,6698
22:19.4,6304
22:19.6,5921
22:19.8,5542
22:20.0,5156
22:20.2,4754
22:20.4,4374
22:20.6,4004
22:20.8,3612
22:21.0,3228
22:21.2,2849
22:21.4,2472
22:21.6,2083
22:21.8,1684
22:22.0,1316
22:22.2,964
22:22.4,586
22:22.6,218
22:22.8,53
22:23.0,52
22:23.2,52
22:23.4,52
22:23.6,52
22:23.8,52
22:24.0,52
22:24.2,52
22:24.4,52
22:24.6,52
22:24.8,52
22:25.0,52
22:25.2,52
22:25.4,52
22:25.6,52
22:25.8,52
22:26.0,52
22:26.2,52
22:26.4,52
22:26.6,52
22:26.8,145
22:27.0,552
22:27.2,957
22:27.4,1357
22:27.6,1759
22:27.8,2183
22:28.0,2584
22:28.2,2958
22:28.4,3338
22:28.6,3732
22:28.8,4108
22:29.0,4483
22:29.2,4870
22:29.4,5260
22:29.6,5641
22:29.8,6023
22:30.0,6421
22:30.2,6815
22:30.4,7199
22:30.6,7588
22:30.8,7994
22:31.0,8385
22:31.2,8776
22:31.4,9185
22:31.6,9594
22:31.8,9941
22:32.0,9942
22:32.2,9942
22:32.4,9942
22:32.6,9942
22:32.8,9942
22:33.0,9942
22:33.2,9942
22:33.4,9942
22:33.6,9942
22:33.8,9942
22:34.0,9942
22:34.2,9942
22:34.4,9942
22:34.6,9942
22:34.8,9942
22:35.0,9942
22:35.2,9942
22:35.4,9942
22:35.6,9942
22:35.8,9942
22:36.0,9774
22:36.2,9354
22:36.4,8937
22:36.6,8530
22:36.8,8130
22:37.0,7722
22:37.2,7338
22:37.4,6960
22:37.6,6578
22:37.8,6183
22:38.0,5800
22:38.2,5425
22:38.4,5028
22:38.6,4630
22:38.8,4253
22:39.0,3882
22:39.2,3492
22:39.4,3104
22:39.6,2726
22:39.8,2349
22:40.0,1955
22:40.2,1567
22:40.4,1197
22:40.6,833
22:40.8,453
22:41.0,93
22:41.2,61
22:41.4,61
22:41.6,61
22:41.8,61
22:42.0,61
22:42.2,61
22:42.4,61
22:42.6,61
22:42.8,61
22:43.0,61
22:43.2,61
22:43.4,61
22:43.6,61
22:43.8,61
22:44.0,61
22:44.2,61
22:44.4,61
22:44.6,61
22:44.8,61
22:45.0,61
22:45.2,318
22:45.4,728
22:45.6,1127
22:45.8,1529
22:46.0,1941
22:46.2,2351
22:46.4,2739
22:46.6,3114
22:46.8,3503
22:47.0,3891
22:47.2,4269
22:47.4,4642
22:47.6,5040
22:47.8,5425
22:48.0,5806
22:48.2,6189
22:48.4,6589
22:48.6,6979
22:48.8,7360
22:49.0,7760
22:49.2,8157
22:49.4,8554
22:49.6,8948
22:49.8,9360
22:50.0,9770
22:50.2,9882
22:50.4,9882
22:50.6,9882
22:50.8,9882
22:51.0,9882
22:51.2,9882
22:51.4,9882
22:51.6,9882
22:51.8,9882
22:52.0,9882
22:52.2,9882
22:52.4,9882
22:52.6,9882
22:52.8,9882
22:53.0,9882
22:53.2,9882
22:53.4,9882
22:53.6,9882
22:53.8,9882
22:54.0,9882
22:54.2,9882
22:54.4,9550
22:54.6,9130
22:54.8,8716
22:55.0,8324
22:55.2,7917
22:55.4,7512
22:55.6,7133
22:55.8,6755
22:56.0,6362
22:56.2,5980
22:56.4,5589
22:56.6,5212
22:56.8,4808
22:57.0,4426
22:57.2,4048
22:57.4,3669
22:57.6,3279
22:57.8,2896
22:58.0,2527
22:58.2,2131
22:58.4,1738
22:58.6,1362
22:58.8,996
22:59.0,622
22:59.2,257
22:59.4,68
22:59.6,68
22:59.8,68
23:00.0,68
23:00.2,68
23:00.4,68
23:00.6,68
23:00.8,68
23:01.0,68
23:01.2,68
23:01.4,68
23:01.6,68
23:01.8,68
23:02.0,68
23:02.2,68
23:02.4,68
23:02.6,68
23:02.8,68
23:03.0,68
23:03.2,68
23:03.4,72
23:03.6,475
23:03.8,886
23:04.0,1284
23:04.2,1688
23:04.4,2100
23:04.6,2508
23:04.8,2890
23:05.0,3261
23:05.2,3656
23:05.4,4038
23:05.6,4409
23:05.8,4788
23:06.0,5182
23:06.2,5565
23:06.4,5942
23:06.6,6337
23:06.8,6735
23:07.0,7121
23:07.2,7500
23:07.4,7905
23:07.6,8294
23:07.8,8686
23:08.0,9093
23:08.2,9502
23:08.4,9896
23:08.6,9946
23:08.8,9946
23:09.0,9946
23:09.2,9946
23:09.4,9946
23:09.6,9946
23:09.8,9946
23:10.0,9946
23:10.2,9946
23:10.4,9946
23:10.6,9946
23:10.8,9946
23:11.0,9946
23:11.2,9946
23:11.4,9946
23:11.6,9946
23:11.8,9946
23:12.0,9946
23:12.2,9946
23:12.4,9946
23:12.6,9881
23:12.8,9470
23:13.0,9055
23:13.2,8641
23:13.4,8241
23:13.6,7838
23:13.8,7438
23:14.0,7057
23:14.2,6679
23:14.4,6285
23:14.6,5905
23:14.8,5524
23:15.0,5140
23:15.2,4744
23:15.4,4357
23:15.6,3986
23:15.8,3597
23:16.0,3208
23:16.2,2830
23:16.4,2449
23:16.6,2058
23:16.8,1669
23:17.0,1293
23:17.2,928
23:17.4,555
23:17.6,186
23:17.8,64
23:18.0,64
23:18.2,64
23:18.4,64
23:18.6,64
23:18.8,64
23:19.0,64
23:19.2,64
23:19.4,64
23:19.6,64
23:19.8,64
23:20.0,64
23:20.2,64
23:20.4,64
23:20.6,64
23:20.8,64
23:21.0,64
23:21.2,64
23:21.4,64
23:21.6,64
23:21.8,207
23:22.0,619
23:22.2,1022
23:22.4,1420
23:22.6,1826
23:22.8,2240
23:23.0,2638
23:23.2,3012
23:23.4,3396
23:23.6,3782
23:23.8,4162
23:24.0,4525
23:24.2,4917
23:24.4,5304
23:24.6,5682
23:24.8,6062
23:25.0,6462
23:25.2,6850
23:25.4,7235
23:25.6,7620
23:25.8,8025
23:26.0,8412
23:26.2,8801
23:26.4,9209
23:26.6,9614
23:26.8,9921
23:27.0,9920
23:27.2,9920
23:27.4,9920
23:27.6,9920
23:27.8,9920
23:28.0,9920
23:28.2,9920
23:28.4,9920
23:28.6,9920
23:28.8,9920
23:28.9,9920
23:29.1,9920
23:29.3,9920
23:29.5,9920
23:29.7,9920
23:29.9,9920
23:30.1,9920
23:30.3,9920
23:30.5,9920
23:30.7,9920
23:30.9,9704
23:31.1,9284
23:31.3,8874
23:31.5,8460
23:31.7,8065
23:31.9,7655
23:32.1,7270
23:32.3,6897
23:32.5,6508
23:32.7,6116
23:32.9,5732
23:33.1,5355
23:33.3,4959
23:33.5,4561
23:33.7,4186
23:33.9,3809
23:34.1,3422
23:34.3,3038
23:34.5,2662
23:34.7,2280
23:34.9,1883
23:35.1,1496
23:35.3,1138
23:35.5,766
23:35.7,389
23:35.9,38
23:36.1,31
23:36.3,31
23:36.5,31
23:36.7,31
23:36.9,31
23:37.1,31
23:37.3,31
23:37.5,31
23:37.7,31
23:37.9,31
23:38.1,31
23:38.3,31
23:38.5,31
23:38.7,31
23:38.9,31
23:39.1,31
23:39.3,31
23:39.5,31
23:39.7,31
23:39.9,31
23:40.1,326
23:40.3,720
23:40.5,1119
23:40.7,1505
23:40.9,1900
23:41.1,2305
23:41.3,2694
23:41.5,3057
23:41.7,3437
23:41.9,3817
23:42.1,4184
23:42.3,4549
23:42.5,4934
23:42.7,5317
23:42.9,5689
23:43.1,6058
23:43.3,6450
23:43.5,6830
23:43.7,7211
23:43.9,7583
23:44.1,7977
23:44.3,8364
23:44.5,8746
23:44.7,9138
23:44.9,9541
23:45.1,9929
23:45.3,9943
23:45.5,9943
23:45.7,9943
23:45.9,9943
23:46.1,9943
23:46.3,9943
23:46.5,9943
23:46.7,9943
23:46.9,9943
23:47.1,9943
23:47.3,9943
23:47.5,9943
23:47.7,9943
23:47.9,9943
23:48.1,9943
23:48.3,9943
23:48.5,9943
23:48.7,9943
23:48.9,9943
23:49.1,9943
23:49.3,9572
23:49.5,9156
23:49.7,8748
23:49.9,8345
23:50.1,7944
23:50.3,7541
23:50.5,7163
23:50.7,6787
23:50.9,6391
23:51.1,6009
23:51.3,5622
23:51.5,5242
23:51.7,4845
23:51.9,4459
23:52.1,4082
23:52.3,3706
23:52.5,3314
23:52.7,2932
23:52.9,2562
23:53.1,2165
23:53.3,1765
23:53.5,1392
23:53.7,1032
23:53.9,660
23:54.1,292
23:54.3,59
23:54.5,59
23:54.7,59
23:54.9,59
23:55.1,59
23:55.3,59
23:55.5,59
23:55.7,59
23:55.9,59
23:56.1,59
23:56.3,59
23:56.5,59
23:56.7,59
23:56.9,59
23:57.1,59
23:57.3,59
23:57.5,59
23:57.7,59
23:57.9,59
23:58.1,59
23:58.3,102
23:58.5,508
23:58.7,912
23:58.9,1309
23:59.1,1711
23:59.3,2128
23:59.5,2537
23:59.7,2917
23:59.9,3290
24:00.1,3685
24:00.3,4063
24:00.5,4428
24:00.7,4812
24:00.9,5203
24:01.1,5584
24:01.3,5959
24:01.5,6354
24:01.7,6749
24:01.9,7133
24:02.1,7516
24:02.3,7917
24:02.5,8307
24:02.7,8697
24:02.9,9103
24:03.1,9510
24:03.3,9910
24:03.5,9925
24:03.7,9925
24:03.9,9925
24:04.1,9925
24:04.3,9925
24:04.5,9925
24:04.7,9925
24:04.9,9925
24:05.1,9925
24:05.3,9925
24:05.5,9925
24:05.7,9925
24:05.9,9925
24:06.1,9925
24:06.3,9925
24:06.5,9925
24:06.7,9925
24:06.9,9925
24:07.1,9925
24:07.3,9925
24:07.5,9816
24:07.7,9401
24:07.9,8982
24:08.1,8573
24:08.3,8169
24:08.5,7762
24:08.7,7375
24:08.9,6997
24:09.1,6614
24:09.3,6216
24:09.5,5834
24:09.7,5453
24:09.9,5059
24:10.1,4666
24:10.3,4283
24:10.5,3906
24:10.7,3512
24:10.9,3123
24:11.1,2746
24:11.3,2373
24:11.5,1979
24:11.7,1591
24:11.9,1221
24:12.1,854
24:12.3,473
24:12.5,118
24:12.7,22
24:12.9,22
24:13.1,22
24:13.3,22
24:13.5,22
24:13.7,22
24:13.9,22
24:14.1,22
24:14.3,22
24:14.5,22
24:14.7,22
24:14.9,22
24:15.1,22
24:15.3,22
24:15.5,22
24:15.7,22
24:15.9,22
24:16.1,22
24:16.3,22
24:16.5,22
24:16.7,55
24:16.9,466
24:17.1,871
24:17.3,1274
24:17.5,1672
24:17.7,2091
24:17.9,2497
24:18.1,2881
24:18.3,3256
24:18.5,3646
24:18.7,4025
24:18.9,4396
24:19.1,4777
24:19.3,5168
24:19.5,5552
24:19.7,5925
24:19.9,6321
24:20.1,6716
24:20.3,7102
24:20.5,7483
24:20.7,7885
24:20.9,8274
24:21.1,8666
24:21.3,9064
24:21.5,9479
24:21.7,9874
24:21.9,9984
24:22.1,9984
24:22.3,9984
24:22.5,9984
24:22.7,9984
24:22.9,9984
24:23.1,9984
24:23.3,9984
24:23.5,9984
24:23.7,9984
24:23.9,9984
24:24.1,9984
24:24.3,9984
24:24.5,9984
24:24.7,9984
24:24.9,9984
24:25.1,9984
24:25.3,9984
24:25.5,9984
24:25.7,9984
24:25.9,9878
24:26.1,9466
24:26.3,9048
24:26.5,8637
24:26.7,8239
24:26.9,7832
24:27.1,7444
24:27.3,7057
24:27.5,6678
24:27.7,6290
24:27.9,5903
24:28.1,5521
24:28.3,5134
24:28.5,4736
24:28.7,4353
24:28.9,3981
24:29.1,3592
24:29.3,3201
24:29.5,2821
24:29.7,2443
24:29.9,2046
24:30.1,1664
24:30.3,1280
24:30.5,918
24:30.7,539
24:30.9,188
24:31.1,86
24:31.3,86
24:31.5,86
24:31.7,86
24:31.9,86
24:32.1,86
24:32.3,86
24:32.5,86
24:32.7,86
24:32.9,86
24:33.1,86
24:33.3,86
24:33.5,86
24:33.7,86
24:33.9,86
24:34.1,86
24:34.3,86
24:34.5,86
24:34.7,86
24:34.9,86
24:35.1,273
24:35.3,682
24:35.5,1080
24:35.7,1480
24:35.9,1888
24:36.1,2310
24:36.3,2702
24:36.5,3073
24:36.7,3462
24:36.9,3846
24:37.1,4223
24:37.3,4592
24:37.5,4984
24:37.7,5370
24:37.9,5753
24:38.1,6133
24:38.3,6536
24:38.5,6924
24:38.7,7304
24:38.9,7697
24:39.0,8100
24:39.2,8492
24:39.4,8878
24:39.6,9289
24:39.8,9692
24:40.0,9957
24:40.2,9957
24:40.4,9957
24:40.6,9957
24:40.8,9957
24:41.0,9957
24:41.2,9957
24:41.4,9957
24:41.6,9957
24:41.8,9957
24:42.0,9957
24:42.2,9957
24:42.4,9957
24:42.6,9957
24:42.8,9957
24:43.0,9957
24:43.2,9957
24:43.4,9957
24:43.6,9957
24:43.8,9957
24:44.0,9957
24:44.2,9702
24:44.4,9286
24:44.6,8873
24:44.8,8460
24:45.0,8064
24:45.2,7653
24:45.4,7268
24:45.6,6898
24:45.8,6508
24:46.0,6114
24:46.2,5734
24:46.4,5353
24:46.6,4956
24:46.8,4568
24:47.0,4181
24:47.2,3804
24:47.4,3412
24:47.6,3033
24:47.8,2658
24:48.0,2274
24:48.2,1874
24:48.4,1493
24:48.6,1131
24:48.8,762
24:49.0,390
24:49.2,68
24:49.4,68
24:49.6,68
24:49.8,68
24:50.0,68
24:50.2,68
24:50.4,68
24:50.6,68
24:50.8,68
24:51.0,68
24:51.2,68
24:51.4,68
24:51.6,68
24:51.8,68
24:52.0,68
24:52.2,68
24:52.4,68
24:52.6,68
24:52.8,68
24:53.0,68
24:53.2,68
24:53.4,410
24:53.6,819
24:53.8,1216
24:54.0,1615
24:54.2,2027
24:54.4,2445
24:54.6,2830
24:54.8,3199
24:55.0,3591
24:55.2,3971
24:55.4,4349
24:55.6,4716
24:55.8,5115
24:56.0,5497
24:56.2,5880
24:56.4,6263
24:56.6,6665
24:56.8,7054
